"RefID","paper_doi","journal","paper_citation","moth_spp","moth_sex","volatile1","volatile2","volatile3","volatile4","ytube_angle","ytube_armlngth","ytube_bodylngth","ytube_diam","ytube_arm_mtrl","ytube_body_mtrl","ytube_gas_source","ytube_hum_control","ytube_filtering","ytube_working_solv","ytube_cleaning_solv","ytube_manufctr","note"
1,"10.1007/s10886-021-01291-w","Journal of Chemical Ecology","Debnath et al. 2021, J. Chem. Ecol. 47,664-679","Diaphania indica","female","pentadecane","heptadecane","pentacosane","palmitoleic acid",45,10,10,3,"glass","glass",NA,NA,"charcoal","petroleum ether","acetone",NA,"cool photo of apparatus in supplementary materials"
2,"10.3390/insects12100939","Insects","Sun et al. 2021, Insects 12, 939","Peridroma saucia","both","(Z)-3-hexenyl acetate"," citral"," farnesol"," nonanal",NA,35,20,6,NA,NA,NA,NA,NA,"parafin","acetone",NA,NA
3,"https://doi.org/10.1093/ee/nvab033","Environmental Entomology","Mason and Isaacs 2021, Environmental Entomology 50, 795-802","Paralobesia viteana","both","pheromone blend","female",NA,NA,30,7,13,1.5,"glass","glass","buildling pressurized air","water","activated charcoal","hexane","methanol,  hexane","Michigan State University Chemistry Glass shop","Apparatus shown"
4,"10.1111/eea.13038","Entomologia Experimentalis et Applicata","Liu et al. 2021, Entomologia Experimentalis et Applicata 169, 701-710","Cnaphalocrocis medinalis","female","rice plant seedling stage","rice plant  tillering stage","rice plant booting stage","mud",75,20,NA,3,"glass","glass","pumped air","water","activated carbon",NA,"absolute ethanol",NA,NA
5,"10.1093/ee/nvab016","Environmental Entomology","Magsi et al. 2021, Environmental Entomology 50(3), 589-598","Dasychira baibarana","both","ocimene","(Z)-3-hexenyl butyrate","(Z)- jasmone","(Z)-3-hexen-1-ol",75,16,18,2.5,"glass","glass","vacuum pump","humidified bottle","active charcoal tube","white filter paper strip",NA,NA,"18 synthetic volatiles listed"
6,"10.1007/s12600-020-00848-x","Phytoparasitica","Msisi et al. 2021, Phytoparasitica 49, 153-162","Tuta absoluta","female","tomato","aubergine","sweet pepper","watermelon",NA,12,13,2.1,NA,NA,"air pump","distilled water","activated charcoal","purified, humidified air",NA,NA,NA
7,"10.1007/s10886-020-01240-z","Journal of Chemical Ecology","Jacob et al. 2021, J. Chem. Ecol. 47, 153- 166","Chilo sacchariphagus","female","(e)-B-ocimene","4-oxo-(e)-2-hexenal","beta-ocimene",NA,NA,12,20,0.35,NA,NA,NA,"air stream","charcoal filtered","paraffin oil","TFD4, distilled water",NA,NA
8,"10.1111/jen.12769","Journal of Applied Entomology","Mobarak et al. 2020, J. Appl. Entomol. 144, 616-631","Spilosoma obliqua Walker","female","n-hexane","PDM 54","PUSA BAISAKHI","SAMRAT",45,10,10,4,"glass","glass","purified air",NA,"charcoal","n-hexane","petroleum ether,  acetone",NA,NA
9,"10.1007/s10886-020-01149-7","Journal of Chemical Ecology","Osei-Owusu et al. 2020, J. Chem. Ecol. 46, 288-298","Maruca vitrata","female","cowpea flower","S. cannabina","Beta-DMNT","3-vinylbenzaldehyde",NA,5,6,0.16,"glass","glass","purified air",NA,"activated carbon","filter paper",NA,NA,"wasp used in y-tube"
10,"10.1017/S0007485319000300","Bulletin of Entomological Research","Passos et al. 2019, Bull. Entomol. Res. 110, 96- 105","Plutella xylostella L.","male","resistant female","susceptible female","clean air","synthetic sex pheromone",NA,NA,NA,NA,NA,NA,"suction pump","aquarium air pump","charcoal",NA,"soap, water",NA,NA
